fy,diameter,fc,member_type,Lpb,Lpt,Ldc,Lpc
500,D25,35,BEAM_COLUMN,1650,2150,530,1030
500,D29,35,BEAM_COLUMN,1920,2490,620,1190
500,D32,35,BEAM_COLUMN,2110,2750,680,1320
500,D35,35,BEAM_COLUMN,2310,3000,740,1440
500,D10,35,SLAB_WALL,320,420,220,410
500,D13,35,SLAB_WALL,510,660,280,540
500,D16,35,SLAB_WALL,730,950,340,660
500,D19,35,SLAB_WALL,970,1260,410,780
500,D22,35,SLAB_WALL,1550,2010,470,910
500,D25,35,SLAB_WALL,1910,2480,530,1030
500,D29,35,SLAB_WALL,2420,3140,620,1190
500,D32,35,SLAB_WALL,2820,3660,680,1320
500,D35,35,SLAB_WALL,3240,4200,740,1440
500,D10,40,FOOTING,300,390,200,410
500,D13,40,FOOTING,390,510,260,540
500,D16,40,FOOTING,480,620,320,660
500,D19,40,FOOTING,570,740,380,780
500,D22,40,FOOTING,900,1170,440,910
500,D25,40,FOOTING,1160,1510,500,1030
500,D29,40,FOOTING,1560,2030,580,1190
500,D32,40,FOOTING,1900,2470,640,1320
500,D35,40,FOOTING,2270,2950,710,1440
500,D10,40,BEAM_COLUMN,500,650,200,410
500,D13,40,BEAM_COLUMN,650,840,260,540
500,D16,40,BEAM_COLUMN,790,1030,320,660
500,D19,40,BEAM_COLUMN,940,1220,380,780
500,D22,40,BEAM_COLUMN,1360,1770,440,910
500,D25,40,BEAM_COLUMN,1550,2010,500,1030
500,D29,40,BEAM_COLUMN,1790,2330,580,1190
500,D32,40,BEAM_COLUMN,1980,2570,640,1320
500,D35,40,BEAM_COLUMN,2160,2810,710,1440
500,D10,40,SLAB_WALL,300,390,200,410
500,D13,40,SLAB_WALL,480,620,260,540
500,D16,40,SLAB_WALL,680,880,320,660
500,D19,40,SLAB_WALL,910,1180,380,780
500,D22,40,SLAB_WALL,1450,1880,440,910
500,D25,40,SLAB_WALL,1780,2320,500,1030
500,D29,40,SLAB_WALL,2260,2940,580,1190
500,D32,40,SLAB_WALL,2640,3430,640,1320
500,D35,40,SLAB_WALL,3030,3930,710,1440
600,D10,21,FOOTING,500,640,330,540
600,D13,21,FOOTING,640,830,430,710
600,D16,21,FOOTING,790,1020,530,870
600,D19,21,FOOTING,940,1220,630,1030
600,D22,21,FOOTING,1490,1930,730,1190
600,D25,21,FOOTING,1920,2490,820,1350
600,D29,21,FOOTING,2580,3350,950,1570
600,D32,21,FOOTING,3140,4080,1050,1730
600,D35,21,FOOTING,3760,4880,1150,1890
600,D10,21,BEAM_COLUMN,820,1070,330,540
600,D13,21,BEAM_COLUMN,1070,1390,430,710
600,D16,21,BEAM_COLUMN,1310,1700,530,870
600,D19,21,BEAM_COLUMN,1560,2020,630,1030
600,D22,21,BEAM_COLUMN,2250,2930,730,1190
600,D25,21,BEAM_COLUMN,2560,3320,820,1350
600,D29,21,BEAM_COLUMN,2970,3860,950,1570
600,D32,21,BEAM_COLUMN,3270,4250,1050,1730
600,D35,21,BEAM_COLUMN,3580,4650,1150,1890
600,D10,21,SLAB_WALL,500,640,330,540
600,D13,21,SLAB_WALL,790,1020,430,710
600,D16,21,SLAB_WALL,1130,1460,530,870
600,D19,21,SLAB_WALL,1500,1950,630,1030
600,D22,21,SLAB_WALL,2400,3110,730,1190
600,D25,21,SLAB_WALL,2950,3830,820,1350
600,D29,21,SLAB_WALL,3740,4860,950,1570
600,D32,21,SLAB_WALL,4360,5670,1050,1730
600,D35,21,SLAB_WALL,5010,6510,1150,1890
600,D10,24,FOOTING,460,600,310,540
600,D13,24,FOOTING,600,780,400,710
600,D16,24,FOOTING,740,960,490,870
600,D19,24,FOOTING,880,1140,590,1030
600,D22,24,FOOTING,1390,1810,680,1190
600,D25,24,FOOTING,1800,2330,770,1350
600,D29,24,FOOTING,2420,3140,890,1570
600,D32,24,FOOTING,2940,3820,980,1730
600,D35,24,FOOTING,3520,4570,1080,1890
600,D10,24,BEAM_COLUMN,770,1000,310,540
600,D13,24,BEAM_COLUMN,1000,1300,400,710
600,D16,24,BEAM_COLUMN,1230,1590,490,870
600,D19,24,BEAM_COLUMN,1460,1890,590,1030
600,D22,24,BEAM_COLUMN,2110,2740,680,1190
600,D25,24,BEAM_COLUMN,2390,3110,770,1350
600,D29,24,BEAM_COLUMN,2780,3610,890,1570
600,D32,24,BEAM_COLUMN,3060,3980,980,1730
600,D35,24,BEAM_COLUMN,3350,4350,1080,1890
600,D10,24,SLAB_WALL,460,600,310,540
600,D13,24,SLAB_WALL,740,960,400,710
600,D16,24,SLAB_WALL,1050,1370,490,870
600,D19,24,SLAB_WALL,1410,1830,590,1030
600,D22,24,SLAB_WALL,2240,2910,680,1190
600,D25,24,SLAB_WALL,2760,3590,770,1350
600,D29,24,SLAB_WALL,3500,4550,890,1570
600,D32,24,SLAB_WALL,4080,5300,980,1730
600,D35,24,SLAB_WALL,4690,6090,1080,1890
600,D10,27,FOOTING,440,570,290,540
600,D13,27,FOOTING,570,740,380,710
600,D16,27,FOOTING,700,900,470,870
600,D19,27,FOOTING,830,1070,550,1030
600,D22,27,FOOTING,1310,1710,640,1190
600,D25,27,FOOTING,1690,2200,730,1350
600,D29,27,FOOTING,2280,2960,840,1570
600,D32,27,FOOTING,2770,3600,930,1730
600,D35,27,FOOTING,3310,4310,1020,1890
600,D10,27,BEAM_COLUMN,730,940,290,540
600,D13,27,BEAM_COLUMN,940,1220,380,710
600,D16,27,BEAM_COLUMN,1160,1500,470,870
600,D19,27,BEAM_COLUMN,1370,1780,550,1030
